Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
383,120,RH,90.3,36128.3,Grvl,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,RRAn,Feedr,Twnhs,2.5Fin,3,7,1993,1953,Flat,Tar&Grv,AsphShn,Stucco,BrkCmn,713.5,Gd,Fa,Slab,Gd,Po,No,Rec,4229.9,NA,551.4,2100.3,250.5,OthW,Fa,N,FuseP,3805.4,529.2,0.0,728.4,1,2,1,1,8,1,Fa,5,Mod,3,Po,CarPort,1967.0,Unf,3,1269.5,TA,NA,P,505.4,176.1,461.1,175.6,226.1,369.0,,GdWo,,6433.0,8,2009,Oth,Normal,234635
384,50,C,170.6,128642.8,Grvl,,IR2,Bnk,NoSeWa,FR2,Gtl,CollgCr,PosA,Artery,TwnhsE,2Story,3,2,1909,1962,Flat,Metal,BrkFace,Stucco,Stone,359.5,Ex,Fa,CBlock,Fa,Fa,No,LwQ,3044.1,NA,398.6,789.8,5378.6,Wall,Po,N,Mix,4045.0,122.4,0.0,4028.1,2,2,0,2,2,3,TA,5,Maj1,1,,Detchd,1998.0,NA,1,1381.7,Po,NA,N,249.8,162.1,426.6,413.4,257.3,348.0,,,,7989.5,5,2009,Oth,AdjLand,446894
385,50,RM,51.4,33492.8,Pave,,IR3,Low,AllPub,CulDSac,Gtl,MeadowV,Artery,Norm,Twnhs,2Story,2,10,1959,1958,Mansard,Membran,CBlock,MetalSd,None,1163.0,TA,Po,PConc,Gd,TA,Gd,ALQ,4886.8,NA,437.8,1738.4,409.2,OthW,Fa,Y,FuseA,3049.8,696.9,0.0,2655.0,1,2,2,2,2,2,Gd,7,Maj1,3,,BuiltIn,1976.0,RFn,0,1162.5,Gd,TA,Y,143.9,23.4,271.7,398.5,415.0,166.0,,,,3607.0,9,2010,ConLD,AdjLand,317282
386,190,FV,,208415.1,Pave,,IR2,HLS,NoSeWa,FR2,Gtl,Blmngtn,Feedr,Feedr,Twnhs,SLvl,6,3,1882,2006,Hip,WdShngl,Stone,Plywood,BrkFace,1132.6,Fa,Ex,Stone,Fa,NA,Gd,ALQ,745.8,GLQ,531.2,1774.9,5300.5,GasW,Fa,N,SBrkr,1848.8,949.9,0.0,1657.4,0,0,0,0,2,1,Ex,13,Sal,0,Fa,CarPort,1984.0,Unf,1,1407.6,Po,,P,586.8,374.6,338.4,367.2,382.7,71.0,,,,3130.5,6,2007,ConLD,AdjLand,364031
387,90,RL,163.4,96872.3,Pave,,Reg,Bnk,AllPub,FR3,Sev,Crawfor,PosA,Artery,Twnhs,2.5Fin,2,10,1900,1998,Gambrel,Membran,CemntBd,ImStucc,BrkFace,245.3,Ex,TA,Slab,Gd,NA,No,Unf,3360.9,GLQ,1457.5,1519.7,2394.0,GasA,Ex,Y,SBrkr,3032.0,1418.7,0.0,3924.6,2,2,3,0,1,1,Fa,6,Min2,3,Gd,Attchd,1914.0,Fin,3,494.0,NA,NA,Y,453.3,143.6,47.4,340.1,154.4,352.0,,,,15330.9,12,2010,ConLw,AdjLand,366968
388,70,FV,,108597.3,Grvl,,Reg,Bnk,AllPub,Corner,Gtl,NoRidge,PosA,Feedr,2FmCon,1.5Unf,8,9,1931,1983,Hip,Tar&Grv,Stone,VinylSd,BrkCmn,1463.6,Fa,Po,Slab,Ex,Fa,Mn,GLQ,2536.1,BLQ,1154.1,922.4,2232.6,GasA,Gd,Y,FuseP,2881.0,1333.9,0.0,1002.3,2,0,1,2,5,0,Fa,8,Mod,1,NA,2Types,1956.0,Fin,2,1270.2,Po,Fa,N,784.1,524.5,420.4,55.2,42.0,10.0,,,,15028.7,10,2010,ConLI,Abnorml,368511
389,80,RH,298.6,54071.4,Grvl,,IR2,Low,AllPub,Corner,Mod,NAmes,PosA,RRNn,1Fam,2Story,8,3,1932,2005,Hip,Tar&Grv,Stone,AsbShng,BrkFace,103.0,Fa,Ex,CBlock,Fa,TA,No,LwQ,2383.4,LwQ,105.2,1421.2,3316.5,Wall,TA,N,FuseF,2977.2,1956.3,0.0,4889.6,3,2,3,0,2,0,Gd,12,Sal,0,,Attchd,1973.0,Fin,2,467.8,,,N,712.2,115.1,284.9,505.4,77.8,637.0,,,,6522.8,2,2009,CWD,Normal,584067
390,80,RL,196.4,102059.6,Grvl,,Reg,HLS,NoSeWa,Inside,Sev,SWISU,Norm,RRNn,TwnhsE,2Story,5,2,1893,1986,Mansard,WdShngl,WdShing,CemntBd,Stone,88.1,Fa,Ex,Wood,Gd,Po,Av,LwQ,1425.5,Rec,1285.9,93.9,5847.8,GasA,Gd,Y,FuseF,3032.7,207.3,0.0,1664.2,0,0,2,1,4,2,Ex,8,Maj2,1,,2Types,1963.0,Fin,1,167.4,Fa,Fa,P,622.8,289.6,315.2,81.8,162.8,152.0,,,,7986.6,6,2006,New,AdjLand,378423
391,40,RH,238.1,142913.1,Grvl,,IR3,Lvl,AllPub,FR2,Gtl,NPkVill,PosA,Artery,2FmCon,2.5Unf,10,9,1949,1997,Hip,ClyTile,Stone,VinylSd,BrkCmn,299.8,Gd,Po,CBlock,TA,Gd,Av,LwQ,2101.1,GLQ,933.5,1779.8,5491.3,OthW,Po,N,Mix,4025.5,694.5,0.0,2252.6,0,1,2,2,4,0,TA,4,Min2,1,Fa,NA,2001.0,Unf,3,881.1,TA,,P,108.5,402.3,367.4,302.8,146.5,161.0,,NA,,12821.5,11,2006,CWD,Normal,566774
392,40,RM,168.8,162010.6,Grvl,,IR2,Low,AllPub,Corner,Gtl,NAmes,Feedr,Artery,1Fam,1.5Fin,7,10,1984,1956,Gambrel,WdShake,Stucco,ImStucc,BrkFace,1455.1,Gd,Fa,PConc,TA,Fa,No,Unf,610.4,Rec,1312.7,232.6,2873.7,GasA,Gd,N,FuseA,1075.2,994.5,0.0,3692.1,1,2,0,0,2,1,Gd,10,Maj1,2,Ex,Detchd,1910.0,Unf,3,645.2,Po,NA,Y,570.8,476.0,276.1,126.6,18.4,385.0,,,,11250.5,4,2008,ConLw,Family,499624
393,190,RL,206.2,162586.3,Grvl,,IR3,HLS,AllPub,FR3,Sev,IDOTRR,RRNn,RRNn,2FmCon,1.5Fin,4,9,1994,1950,Mansard,Membran,Wd Sdng,BrkFace,Stone,832.0,TA,Ex,Stone,Fa,Gd,Mn,Unf,1420.0,Rec,503.7,926.8,4251.5,GasA,Gd,Y,SBrkr,1934.7,1385.0,0.0,339.5,2,2,0,2,2,1,TA,8,Maj2,1,,Attchd,1995.0,Fin,0,1307.0,Gd,Fa,P,594.7,85.6,288.0,85.7,207.4,690.0,,,,1543.0,5,2007,ConLD,Normal,287717
394,190,RH,41.7,124936.9,Pave,,IR2,Bnk,NoSeWa,Inside,Gtl,NridgHt,RRAn,Norm,TwnhsE,SLvl,1,4,1915,2009,Hip,CompShg,CemntBd,MetalSd,None,1260.7,Gd,Po,Wood,Gd,Gd,Gd,,1535.0,GLQ,684.7,242.1,3546.4,Floor,Fa,N,FuseP,2887.8,1023.1,0.0,2843.3,2,0,1,2,0,3,Fa,8,Maj2,1,Po,BuiltIn,1996.0,NA,1,697.9,Gd,NA,N,654.2,539.0,275.8,284.2,50.8,143.0,,MnWw,,5806.5,5,2008,Oth,AdjLand,316633
395,40,RM,95.3,194783.3,Pave,,IR1,HLS,AllPub,Corner,Mod,Somerst,Norm,Feedr,Twnhs,2Story,2,9,1968,2007,Flat,Tar&Grv,BrkFace,ImStucc,None,364.5,TA,Gd,Wood,Ex,Fa,Gd,Rec,4067.4,Unf,1321.0,1955.4,4237.1,Floor,Ex,Y,Mix,1568.7,1884.8,0.0,5080.7,0,2,1,1,5,1,Fa,3,Typ,0,Gd,,1919.0,Unf,0,1315.4,Fa,NA,N,225.5,496.0,274.2,424.9,106.0,138.0,,,,3877.3,1,2010,CWD,Family,528498
396,45,FV,126.7,176180.3,Pave,,IR3,Low,AllPub,FR3,Mod,Blueste,RRNn,Artery,2FmCon,SFoyer,10,3,1948,1961,Shed,Metal,Stucco,BrkComm,Stone,784.4,TA,Gd,CBlock,Fa,NA,No,LwQ,274.0,BLQ,401.8,1285.5,5067.2,GasA,Po,Y,FuseA,4596.8,1256.9,0.0,3945.6,3,0,3,1,2,2,Fa,13,Min1,0,,Detchd,,RFn,1,111.5,Ex,Ex,N,548.7,526.7,414.1,191.5,378.0,205.0,,,,15385.8,10,2008,New,Abnorml,611305
397,75,RM,159.0,163266.7,Pave,,IR3,Lvl,AllPub,FR2,Mod,IDOTRR,RRAe,Artery,1Fam,1Story,10,7,1926,1970,Hip,Roll,ImStucc,AsphShn,BrkFace,573.3,Fa,TA,CBlock,Ex,TA,NA,Unf,3675.3,LwQ,1349.4,1614.1,210.8,Grav,TA,N,SBrkr,1480.8,81.9,0.0,2393.0,0,0,1,1,0,3,TA,11,Min2,0,Fa,Attchd,1929.0,NA,0,1177.7,NA,Po,N,529.9,466.4,235.8,39.2,237.5,95.0,,,,11604.9,5,2008,CWD,Partial,398947
398,60,C,34.3,13196.5,Grvl,NA,IR2,HLS,AllPub,FR3,Mod,Veenker,PosN,PosN,1Fam,2.5Fin,4,7,1922,1960,Shed,Membran,CBlock,VinylSd,Stone,1324.5,Ex,Fa,Stone,Gd,NA,Gd,LwQ,1249.6,GLQ,1221.2,1594.5,1990.4,Grav,Fa,Y,FuseA,2380.6,234.7,0.0,3839.5,2,1,1,0,8,0,Ex,4,Maj2,3,,Attchd,1909.0,NA,0,1076.4,NA,Ex,N,330.2,480.1,1.6,316.9,179.0,725.0,,MnWw,,740.4,10,2008,ConLD,Partial,402323
399,75,RM,61.9,2771.5,Pave,Pave,IR2,HLS,AllPub,FR3,Gtl,Crawfor,Feedr,Feedr,1Fam,2.5Fin,1,8,1973,1993,Shed,CompShg,HdBoard,VinylSd,Stone,36.2,Gd,Po,BrkTil,TA,Po,Av,BLQ,462.0,ALQ,1445.3,1966.0,5861.5,Wall,TA,N,SBrkr,4157.6,1556.0,0.0,5305.3,3,1,3,0,0,3,Gd,4,Typ,3,Gd,BuiltIn,1953.0,NA,3,1020.9,NA,Ex,P,568.6,327.6,337.9,389.3,89.0,580.0,,,,13950.6,11,2007,ConLI,Abnorml,553435
400,20,RM,,46752.0,Pave,,IR3,Bnk,AllPub,FR3,Mod,NPkVill,Feedr,RRNn,2FmCon,2.5Unf,8,10,1900,2000,Shed,Tar&Grv,AsphShn,ImStucc,Stone,390.1,Ex,Fa,PConc,Gd,,Av,ALQ,1697.7,ALQ,478.0,309.7,5800.4,Floor,Ex,N,FuseA,682.9,1478.1,0.0,1330.9,3,2,2,0,4,1,Gd,13,Maj1,0,Po,BuiltIn,1957.0,Fin,3,503.6,Po,Gd,Y,74.3,462.4,525.9,150.4,415.8,355.0,,MnWw,,14383.4,9,2006,ConLw,Alloca,445773
401,75,C,304.7,143257.6,Pave,,Reg,HLS,AllPub,CulDSac,Gtl,Gilbert,PosN,Artery,1Fam,2.5Fin,9,4,1940,2007,Mansard,Membran,WdShing,Stone,None,244.1,TA,Fa,Wood,Ex,Fa,NA,Unf,1266.9,Rec,347.5,1541.1,68.6,GasW,Gd,Y,FuseA,3910.6,317.0,0.0,3156.8,2,2,1,1,4,2,Gd,14,Sev,3,Gd,Attchd,1978.0,NA,2,1111.4,Ex,Gd,P,551.5,292.1,141.8,350.8,433.8,470.0,,,,5165.7,8,2006,ConLD,AdjLand,458128
402,45,RH,117.8,89273.6,Pave,,IR3,Bnk,NoSeWa,Corner,Gtl,OldTown,Norm,Artery,Duplex,2.5Fin,4,3,1951,1993,Mansard,WdShake,MetalSd,BrkFace,None,1374.7,TA,Po,BrkTil,TA,Fa,NA,Rec,3115.7,ALQ,487.7,1343.5,1230.8,Floor,Gd,N,FuseP,2822.5,121.6,0.0,1580.0,0,0,1,2,1,0,TA,7,Min2,2,,,1928.0,Unf,2,685.3,Gd,,P,519.4,294.4,450.5,38.5,249.0,317.0,,,,9950.7,8,2008,CWD,Family,312867
403,90,RH,161.8,87392.8,Grvl,NA,IR1,Low,NoSeWa,FR3,Gtl,Veenker,Feedr,RRNn,1Fam,2Story,10,3,1902,1993,Shed,CompShg,CemntBd,HdBoard,None,748.1,TA,Ex,Stone,Fa,Fa,Av,Rec,2017.0,Rec,1407.2,72.2,6071.9,GasW,Ex,Y,Mix,472.6,1195.1,0.0,4868.2,0,0,3,1,0,0,Ex,5,Sal,3,,BuiltIn,1900.0,NA,3,1014.2,Ex,TA,Y,180.5,307.7,251.4,183.6,442.2,511.0,,,,10571.6,3,2007,COD,Alloca,714323
404,20,RM,78.3,190552.9,Pave,,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,PosA,Feedr,1Fam,2.5Unf,3,5,1983,1963,Flat,Metal,MetalSd,BrkFace,BrkFace,646.8,Fa,Gd,Wood,TA,Gd,No,Rec,5452.1,Unf,491.0,470.5,3011.2,OthW,Po,N,FuseF,4268.9,1312.8,0.0,4161.3,0,0,3,0,5,1,Fa,5,Sal,2,,NA,1957.0,NA,3,783.1,TA,Ex,P,701.2,545.0,354.9,240.9,223.1,18.0,,,,11308.0,9,2006,CWD,Normal,497394
405,75,C,199.3,192901.2,Grvl,,Reg,Low,NoSeWa,CulDSac,Sev,Edwards,RRNe,Norm,2FmCon,1.5Unf,2,1,1917,1983,Mansard,ClyTile,CemntBd,WdShing,BrkCmn,719.2,Ex,TA,Wood,Fa,Fa,No,LwQ,5438.3,Unf,833.1,625.0,3500.2,OthW,Fa,Y,FuseA,504.8,279.4,0.0,4586.1,1,0,3,0,6,2,Fa,2,Maj1,0,Po,Basment,1920.0,RFn,0,223.2,NA,Fa,Y,749.4,57.1,491.8,397.2,51.5,412.0,,GdPrv,,10749.4,9,2009,WD,Partial,444721
406,45,C,103.0,195813.5,Pave,,IR2,HLS,AllPub,FR3,Sev,IDOTRR,Artery,RRNn,TwnhsE,SLvl,5,10,1968,1983,Shed,CompShg,Plywood,Other,None,1555.1,Fa,Ex,Slab,Fa,Po,No,,2504.3,Unf,595.0,169.5,1016.8,Wall,Gd,N,FuseP,2579.3,978.0,0.0,5339.5,1,2,3,0,8,1,TA,7,Sev,0,,CarPort,1914.0,RFn,2,91.5,TA,Fa,N,180.4,440.7,425.6,171.8,8.2,406.0,,MnPrv,,8675.6,10,2006,VWD,Alloca,457887
407,60,FV,81.4,68452.6,Grvl,,IR2,HLS,AllPub,FR3,Sev,StoneBr,Feedr,Norm,2FmCon,SFoyer,3,3,1923,1974,Shed,Membran,MetalSd,VinylSd,None,1360.4,Ex,Fa,Wood,TA,Po,Av,Rec,4487.5,Unf,584.0,828.6,5464.4,Grav,Ex,N,FuseF,547.7,631.5,0.0,1567.1,3,1,3,1,7,1,Gd,9,Maj1,3,,CarPort,1966.0,Unf,3,519.3,Fa,Gd,N,65.1,149.5,488.3,230.5,61.6,401.0,,,,14784.6,7,2006,New,Normal,343534
408,75,RH,,149147.9,Pave,,IR3,Bnk,AllPub,Corner,Mod,ClearCr,RRNn,Artery,2FmCon,1.5Fin,10,6,2009,2010,Gable,Roll,Plywood,MetalSd,Stone,1130.2,Fa,Fa,PConc,TA,Fa,NA,GLQ,74.9,NA,285.0,63.5,1413.0,GasA,Fa,N,Mix,644.3,1923.1,0.0,592.6,0,2,1,0,2,2,Ex,9,Min2,0,Gd,NA,1932.0,NA,1,1322.7,Ex,NA,N,517.3,197.6,5.3,319.2,298.9,100.0,,,,7941.8,6,2007,New,Normal,420686
409,45,RL,22.6,59414.6,Grvl,,IR3,Bnk,NoSeWa,CulDSac,Gtl,NoRidge,PosN,Norm,Duplex,1Story,7,3,1945,1953,Mansard,WdShngl,AsphShn,MetalSd,BrkFace,464.8,TA,Po,Stone,Ex,TA,Mn,NA,3091.8,Unf,791.7,1292.2,1158.7,Grav,Fa,Y,Mix,4200.4,452.6,0.0,1878.1,1,2,0,1,8,1,Ex,9,Typ,0,,Basment,1937.0,Fin,1,751.2,Fa,Ex,N,411.3,44.1,103.4,317.0,154.0,592.0,,,,1719.2,9,2007,Con,Abnorml,331479
410,160,RH,23.2,42080.0,Grvl,,IR2,Low,NoSeWa,FR3,Gtl,Somerst,RRNn,Norm,TwnhsE,SLvl,6,5,1912,2001,Hip,ClyTile,Stone,BrkFace,Stone,264.3,Gd,Gd,Stone,TA,Po,Av,GLQ,4195.2,LwQ,1252.0,494.1,1393.8,Floor,Ex,Y,FuseA,3671.5,1514.2,0.0,2452.6,3,2,0,2,0,2,Ex,6,Min2,1,,BuiltIn,1918.0,RFn,2,1137.5,TA,Po,N,366.4,192.3,233.8,263.0,311.2,694.0,,,,1246.6,11,2006,CWD,Normal,362666
411,40,RH,,40801.2,Grvl,,IR3,Low,NoSeWa,FR3,Mod,NAmes,PosN,RRNn,2FmCon,1.5Fin,1,9,1948,2004,Gambrel,Tar&Grv,CemntBd,AsphShn,Stone,1474.3,Fa,Gd,Wood,NA,TA,Av,Unf,1224.4,GLQ,72.9,670.4,5618.9,Grav,Gd,N,SBrkr,1192.3,1069.9,0.0,3652.3,2,1,0,1,5,2,Ex,11,Sev,0,TA,Attchd,1903.0,Fin,1,816.7,NA,NA,Y,652.2,541.9,468.0,166.9,243.8,17.0,,,,284.8,6,2009,WD,Alloca,444975
412,190,FV,31.7,74492.2,Pave,,Reg,Low,AllPub,FR2,Sev,Sawyer,Artery,Artery,Duplex,1.5Unf,8,2,2002,1975,Hip,Roll,CBlock,CBlock,Stone,676.9,Fa,TA,PConc,,TA,Gd,ALQ,345.3,GLQ,1310.7,2126.9,4294.4,Floor,Po,Y,Mix,3038.0,23.8,0.0,4568.2,2,2,1,0,1,1,Ex,7,Sal,1,Fa,BuiltIn,,Unf,0,1358.3,TA,Gd,P,831.0,217.2,462.8,340.3,159.8,154.0,,,,6632.8,3,2009,COD,Normal,604172
413,160,RL,,93287.3,Pave,,IR3,Lvl,NoSeWa,Inside,Gtl,BrkSide,RRNn,Feedr,2FmCon,2Story,2,2,1985,1965,Mansard,WdShngl,Wd Sdng,Stucco,Stone,446.0,Gd,Ex,BrkTil,Ex,TA,No,BLQ,880.0,LwQ,980.9,1174.6,4696.1,Wall,Gd,Y,FuseP,3797.2,1067.6,0.0,2190.8,0,1,2,2,8,1,Gd,6,Sal,0,Ex,NA,1988.0,Unf,2,523.9,Fa,Gd,Y,409.4,366.3,102.2,425.3,105.0,128.0,,,,4235.2,6,2008,CWD,AdjLand,378177
414,80,FV,119.9,179077.4,Pave,,Reg,Bnk,NoSeWa,Inside,Mod,Crawfor,RRAn,PosN,Duplex,SLvl,5,6,1923,1959,Shed,WdShake,Stone,AsbShng,None,753.5,Gd,TA,Slab,NA,Fa,Gd,Rec,2493.8,Rec,909.1,628.4,2303.7,Grav,Gd,N,FuseA,4210.8,205.4,0.0,2847.3,2,0,1,0,8,3,Fa,5,Sal,2,NA,BuiltIn,1997.0,NA,3,80.9,TA,NA,Y,5.3,66.0,78.5,78.1,38.9,314.0,,,,13875.9,11,2008,ConLw,Family,405412
415,40,RL,,26950.1,Grvl,,IR2,Low,AllPub,Corner,Sev,CollgCr,Feedr,Norm,Twnhs,2Story,9,6,1958,1994,Gable,CompShg,CemntBd,CemntBd,BrkFace,1468.6,Fa,Fa,BrkTil,NA,Gd,Av,BLQ,2858.0,Unf,922.6,1398.0,5555.1,GasW,Gd,Y,Mix,2374.9,1361.0,0.0,4503.3,2,2,0,2,7,0,Gd,13,Sev,2,,2Types,1980.0,Unf,1,1107.0,Ex,Fa,Y,511.0,504.6,460.8,173.0,375.5,365.0,,,,13440.8,2,2006,Oth,Abnorml,590329
416,80,RM,188.0,158533.7,Grvl,,IR3,Bnk,AllPub,CulDSac,Mod,IDOTRR,PosA,Artery,1Fam,2.5Fin,8,8,1980,1951,Hip,WdShngl,VinylSd,Stucco,None,619.3,TA,Fa,CBlock,Gd,Fa,Av,GLQ,2149.7,NA,436.7,471.1,4823.3,Grav,Gd,Y,FuseA,4245.3,1167.8,0.0,1530.0,2,0,0,0,6,0,Fa,5,Sev,0,,Basment,1957.0,NA,0,1000.3,Po,,Y,560.4,452.8,298.9,339.7,393.1,461.0,,GdPrv,,12986.6,2,2006,WD,AdjLand,433469
417,150,RL,170.7,115002.1,Grvl,,Reg,Low,AllPub,FR3,Mod,OldTown,PosA,PosN,1Fam,SLvl,2,2,1940,1984,Gambrel,ClyTile,MetalSd,HdBoard,BrkCmn,900.2,TA,Gd,BrkTil,NA,Po,Av,Unf,2483.2,BLQ,611.9,173.8,4586.1,GasW,TA,N,SBrkr,2547.2,21.5,0.0,1486.5,3,0,3,1,5,2,Gd,5,Sal,2,NA,Detchd,1969.0,Fin,3,748.0,Po,NA,Y,709.6,211.3,346.0,383.9,259.9,160.0,,,,13442.8,12,2006,ConLI,Alloca,317900
418,30,FV,106.7,62904.5,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,BrDale,PosA,Feedr,2FmCon,SLvl,9,9,1991,1968,Shed,WdShake,BrkFace,CBlock,Stone,1284.7,Gd,Fa,CBlock,Fa,Po,Mn,Rec,2654.0,ALQ,1178.2,48.8,5932.4,OthW,Ex,N,Mix,3333.3,422.7,0.0,3461.6,2,0,3,0,1,3,Fa,5,Sal,2,Ex,Detchd,1911.0,,4,462.8,TA,Po,N,170.9,190.6,446.7,397.0,75.4,630.0,,,,4612.9,7,2009,COD,Family,631664
419,190,RH,293.1,106736.3,Pave,,IR1,Bnk,AllPub,Corner,Sev,Gilbert,RRAn,PosN,Duplex,2.5Fin,5,2,1938,1955,Hip,WdShngl,BrkComm,BrkFace,None,683.4,Fa,Ex,PConc,Ex,Po,Gd,LwQ,4342.7,NA,451.6,2222.8,2237.5,OthW,Po,N,FuseA,4600.6,1602.9,0.0,2648.6,2,2,3,1,3,2,Gd,7,Maj2,2,,,1978.0,RFn,0,267.0,Po,Po,P,449.3,236.5,116.9,331.9,126.5,375.0,,,,6604.8,8,2010,ConLD,Normal,386810
420,160,RL,136.9,65471.1,Grvl,,IR1,Bnk,AllPub,FR2,Sev,NPkVill,PosN,Feedr,Twnhs,2Story,10,1,1932,1968,Flat,Metal,Stone,BrkComm,BrkFace,373.7,Ex,Ex,Wood,Gd,Po,NA,GLQ,594.0,Unf,692.8,1692.7,3733.0,Floor,Po,Y,FuseP,1362.3,569.5,0.0,5370.7,3,0,1,1,6,3,TA,7,Maj1,3,Fa,NA,1916.0,RFn,1,683.9,Po,Fa,N,383.2,219.5,75.3,243.0,458.5,331.0,,,,4831.9,7,2008,ConLD,Alloca,668453
421,30,RL,46.4,128828.8,Pave,,Reg,Bnk,AllPub,Corner,Gtl,NAmes,RRNn,PosN,1Fam,2.5Fin,6,10,1942,2008,Gable,WdShngl,AsbShng,CemntBd,BrkCmn,1591.2,Gd,TA,CBlock,TA,Gd,No,ALQ,4340.0,LwQ,28.9,1868.7,5559.7,Wall,TA,Y,Mix,1068.4,1031.0,0.0,2229.1,1,2,2,2,5,2,Ex,6,Mod,2,,BuiltIn,1900.0,NA,0,944.7,Po,Fa,Y,569.4,141.2,474.2,328.1,108.5,684.0,,,,1334.3,5,2008,ConLw,Normal,443438
422,30,C,201.2,94118.7,Grvl,,IR3,Bnk,AllPub,Inside,Sev,NAmes,RRAe,Feedr,2FmCon,SLvl,3,2,1901,2002,Mansard,Tar&Grv,VinylSd,ImStucc,None,1530.5,Ex,Ex,Stone,NA,TA,No,Rec,3886.6,ALQ,1081.3,2291.4,4832.3,GasA,Po,N,SBrkr,1824.5,644.3,0.0,4365.7,3,0,2,1,8,0,Ex,13,Maj1,1,,Detchd,1913.0,Fin,4,820.9,NA,Fa,P,54.8,542.0,61.7,68.6,27.3,664.0,,NA,,14322.7,4,2010,CWD,Normal,463461
423,60,RH,,36473.7,Pave,,IR1,Lvl,NoSeWa,FR2,Mod,Sawyer,RRAe,Norm,2FmCon,1.5Unf,3,7,1967,2001,Hip,ClyTile,BrkFace,Stucco,None,1349.6,Gd,Fa,Wood,Gd,Fa,Mn,NA,4185.9,BLQ,615.7,2176.3,3442.2,Grav,TA,Y,FuseF,1050.5,1903.0,0.0,3429.1,1,2,3,1,4,3,Gd,12,Maj2,3,,2Types,1901.0,Unf,4,620.4,NA,Po,Y,757.6,443.4,48.7,105.5,264.0,19.0,,,,9546.9,8,2006,ConLw,Normal,435129
424,40,RM,,26242.4,Grvl,,IR2,Low,NoSeWa,FR3,Mod,NoRidge,RRAn,PosN,Duplex,2.5Unf,10,8,1927,2000,Hip,Membran,WdShing,AsbShng,BrkCmn,1101.4,Fa,Po,Wood,Fa,Po,Gd,ALQ,4145.3,NA,774.4,1721.4,465.7,GasA,TA,Y,FuseF,1572.4,1108.0,0.0,623.7,3,2,2,1,5,1,Gd,12,Sev,1,,BuiltIn,1903.0,Fin,0,765.3,TA,Po,N,438.1,146.6,152.9,471.2,125.7,545.0,,NA,,2054.6,12,2008,Con,Abnorml,351259
425,190,FV,169.2,118262.8,Grvl,,IR2,Lvl,AllPub,Corner,Mod,Blueste,RRAe,Feedr,TwnhsE,1.5Fin,8,5,1924,1957,Hip,WdShngl,ImStucc,AsphShn,BrkFace,471.8,TA,Gd,Wood,Gd,TA,No,Unf,2656.0,Rec,169.1,1621.2,3988.1,GasW,Po,Y,FuseA,3571.9,1437.6,0.0,781.9,0,2,0,2,5,1,Ex,10,Min2,1,NA,Attchd,1965.0,RFn,3,153.1,Po,Gd,N,751.6,537.0,174.9,468.5,459.6,571.0,,,,3193.9,9,2009,VWD,Alloca,354692
426,150,RM,,194366.8,Grvl,,IR2,Bnk,NoSeWa,CulDSac,Gtl,ClearCr,PosN,Artery,2FmCon,1.5Unf,10,6,1878,1963,Hip,WdShngl,ImStucc,Stucco,BrkCmn,1461.5,Gd,Gd,CBlock,Fa,Fa,Av,BLQ,1193.1,NA,1461.8,786.9,3217.3,GasA,Po,N,Mix,2415.0,172.4,0.0,1412.4,2,0,0,0,7,0,TA,9,Typ,1,,Attchd,1989.0,Unf,3,986.7,,,Y,291.6,8.5,133.1,367.7,275.9,461.0,,,,6986.7,7,2010,ConLI,Abnorml,391788
427,80,RH,165.1,74888.0,Pave,,IR1,HLS,AllPub,CulDSac,Sev,Mitchel,RRAn,RRNn,Twnhs,2.5Fin,10,1,1968,1959,Gambrel,WdShngl,Wd Sdng,CemntBd,BrkCmn,440.9,Ex,Gd,Stone,Gd,Gd,Gd,ALQ,3028.7,Unf,445.8,243.0,1125.3,Grav,Gd,Y,Mix,1968.4,83.3,0.0,1093.9,1,2,3,0,7,3,Fa,11,Maj1,3,,BuiltIn,1945.0,RFn,4,1041.2,NA,Gd,P,560.1,239.5,409.4,166.1,463.6,157.0,,,,804.4,1,2009,COD,Normal,439124
